"","minClusterSize","deepSplit","AverageSilhouetteWidth","Number_of_cluster","Number_of_unassigned","Number_of_sample"
"Fannyhessea_massiliense",20,0,0.0379797362855719,3,0,611
"Fannyhessea_spNov3",12,2,-0.00448910320441055,9,0,714
"Fannyhessea_vaginae",20,0,0.0312146581692112,4,0,1146
"Fenollaria_massiliensis",20,0,0.124635277926419,2,0,70
"Finegoldia_magna",20,0,0.106763336546141,3,0,330
"Fusobacterium_animalis",20,0,0.175260035098076,2,0,42
"Fusobacterium_gonidiaformans",0,0,0,1,0,20
"Gardnerella",0,0,0,1,0,526
"Gardnerella_leopoldii",10,4,0.00345794569283705,10,0,220
"Gardnerella_piotii",20,1,0.0683794200114769,5,0,1127
"Gardnerella_sp003585735",20,0,0.145487833469778,3,0,177
"Gardnerella_sp003585845",11,3,0.0217897233656967,8,0,279
"Gardnerella_spNov1",0,0,0,1,0,20
"Gardnerella_spNov2",20,0,0.147747006611548,2,0,83
"Gardnerella_swidsinkii",20,0,0.112155131182952,3,0,574
"Gardnerella_vaginalis",20,0,0.106415379467924,2,0,1218
"Gardnerella_vaginalis_A",20,0,0.0855219747747168,3,0,595
"Gardnerella_vaginalis_B",20,0,0.0630739853576106,3,0,181
"Gardnerella_vaginalis_C",20,0,0.06352179294128,3,0,607
"Gardnerella_vaginalis_D",20,1,0.024492937864279,5,0,345
"Gardnerella_vaginalis_E",20,0,0.283867282879099,2,0,79
"Gardnerella_vaginalis_F",20,0,0.149942282411842,3,0,344
"Gardnerella_vaginalis_H",20,0,0.0147010961520853,4,0,499
"Gemella_asaccharolytica",10,0,0.0349023189539678,9,0,319
"Gemella_haemolysans",20,0,0.0901167896313579,2,0,38
"Gleimia_europaea",0,0,0,1,0,31
"Gulosibacter",0,0,0,1,0,22
"KA00274_sp001552885",20,0,0.310674882446328,2,0,59
"KA00274_sp902373515",20,0,0.0240695301413967,5,0,786
"Lactobacillus_crispatus",11,2,0.0569996593560759,10,0,831
"Lactobacillus_gasseri",20,0,0.346204399750961,2,0,239
"Lactobacillus_iners",10,1,0.00860516991598707,8,0,1807
"Lactobacillus_jensenii",14,1,0.092484341934683,8,0,379
"Lactobacillus_mulieris",20,0,0.455269263645752,3,0,253
"Lactobacillus_paragasseri",16,0,0.251637621539849,3,0,76
"Lawsonella_clevelandensis",0,0,0,1,0,35
"Levyella_massiliensis",19,0,0.209962123251297,2,0,32
"Limosilactobacillus",0,0,0,1,0,37
"Limosilactobacillus_coleohominis",20,0,0.388355093112242,3,0,228
"Limosilactobacillus_fermentum",0,0,0,1,0,29
"Limosilactobacillus_portuensis",10,2,0.166085385471862,8,0,477
"Limosilactobacillus_urinaemulieris",20,0,0.415093718013047,2,0,43
"Limosilactobacillus_vaginalis",20,0,0.375576425202123,2,0,105
"Mageeibacillus_indolicus",15,1,0.00239898983450726,10,0,380
"Malacoplasma_girerdii",13,0,0.193248594930656,2,0,23
"Megasphaera_hutchinsoni",20,0,0.0585349089296863,4,0,355
"Megasphaera_lornae",20,0,0.0314978616258206,5,0,857
"Metamycoplasma_hominis",20,0,0.0334642467788843,4,0,120
"Mobiluncus_curtisii",20,2,0.229571267421994,4,0,244
"Mobiluncus_mulieris",20,0,0.0585363895834697,7,0,260
"MultiGenera",0,0,0,1,0,1813
"Nakaseomyces_glabratus",0,0,0,1,0,21
"Nanoperiomorbus_sp004136275",20,0,0.0621377121197524,3,0,349
"Olegusella_massiliensis",0,0,0,1,0,35
"Oligella_urethralis",0,0,0,1,0,23
"Parvimonas_sp001552895",14,1,0.0191108055760924,10,0,730
"Pauljensenia_turicensis",20,0,0.108046643585453,2,0,57
"Peptococcus_niger",20,0,0.107243841758861,2,0,38
"Peptoniphilus_coxii",20,0,0.432587048274439,2,0,55
"Peptoniphilus_duerdenii",0,0,0,1,0,38
"Peptoniphilus_harei",20,0,0.0636334484956117,3,0,229
"Peptoniphilus_lacrimalis",20,0,0.171150911560701,2,0,295
"Peptoniphilus_sp000478985",20,0,0.739049787215678,2,0,91
"Peptoniphilus_sp902363535",20,0,0.310426137314704,2,0,54
"Peptoniphilus_vaginalis",14,1,0.109681466242849,9,0,358
"Peptostreptococcus_anaerobius",10,3,0.0398404569783214,10,0,192
"Peptostreptococcus_sp000758885",20,0,0.0703007929314987,2,0,73
"Porphyromonas",0,0,0,1,0,20
"Porphyromonas_asaccharolytica",20,0,0.11963297578547,2,0,64
"Porphyromonas_somerae",0,0,0,1,0,22
"Porphyromonas_sp001552775",10,2,0.0608029897336198,7,0,135
"Porphyromonas_sp001808555",11,0,0.106988101134024,3,0,62
"Porphyromonas_spNov1",0,0,0,1,0,25
"Porphyromonas_uenonis",20,0,0.11033733314813,4,0,243
"Prevotella",0,0,0,1,0,678
"Prevotella_amnii",10,0,0.0805152577939395,7,0,610
"Prevotella_bivia",11,0,0.0369033477548781,7,0,370
"Prevotella_colorans",10,2,0.0418469577340154,5,0,128
"Prevotella_corporis",0,0,0,1,0,22
"Prevotella_disiens",20,0,0.105629239109622,2,0,126
"Prevotella_melaninogenica",0,0,0,1,0,82
"Prevotella_sp000479005",20,0,0.0795591748798414,5,0,314
"Prevotella_sp000758925",20,0,0.449202113806051,2,0,588
"Prevotella_sp001552765",0,0,0,1,0,81
"Prevotella_spNov1",12,2,0.0873104382216229,7,0,266
"Prevotella_spNov2",0,0,0,1,0,95
"Prevotella_spNov3",20,0,0.0713360149029696,4,0,602
"Prevotella_timonensis",10,2,0.00634014465643143,9,0,587
"Propionimicrobium_lymphophilum",0,0,0,1,0,40
"Pseudoglutamicibacter_albus",0,0,0,1,0,37
"Pseudoglutamicibacter_cumminsii",0,0,0,1,0,24
"S5-A14a_sp000758905",0,0,0,1,0,21
"Slackia_exigua",0,0,0,1,0,25
"Sneathia_sanguinegens",10,0,0.0332933279573904,7,0,559
"Sneathia_vaginalis",20,0,0.0264026872177108,4,0,731
"Sodaliphilus_spNov1",18,3,0.0125064683761481,5,0,140
"Staphylococcus_aureus",0,0,0,1,0,22
"Staphylococcus_epidermidis",20,0,0.101878097729713,2,0,53
"Staphylococcus_haemolyticus",0,0,0,1,0,23
"Stomatobaculum_naviforme",0,0,0,1,0,25
"Stomatobaculum_sp002892395",20,0,0.148259981377158,3,0,159
"Streptococcus",0,0,0,1,0,45
"Streptococcus_agalactiae",20,0,0.212472912193325,3,0,105
"Streptococcus_anginosus",20,0,0.0396362027463367,3,0,190
"Streptococcus_mitis",20,0,0.213987559705957,2,0,126
"Streptococcus_salivarius",0,0,0,1,0,23
"Sutterella_sp900762445",0,0,0,1,0,24
"Sutterella_spNov1",18,0,0.298859925378244,2,0,30
"Trichomonas_vaginalis",20,0,0.195396112949062,2,0,75
"UBA629_sp005465875",20,1,0.0699660324558031,4,0,631
"Ureaplasma_parvum",20,2,0.114497348452651,7,0,257
"Ureaplasma_urealyticum",20,0,0.0798148682041574,2,0,45
"Urinicoccus_massiliensis",20,0,0.20841901202699,2,0,46
"Varibaculum_cambriense",20,0,0.258579069348444,2,0,51
"Varibaculum_massiliense",0,0,0,1,0,36
"Veillonella_montpellierensis",20,0,0.232396013713527,2,0,99
"Winkia_neuii",20,0,0.286954533995197,2,0,40
"Winkia_sp002849225",20,0,0.0580019539274863,2,0,54
